"","id","host_id","host_location","host_response_time","host_response_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","zipcode","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","daily_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","TV","WiFi","Air_Condition","Wheelchair_accessible","Kitchen","Breakfast","Elevator","Heating","Washer","Iron","Host_greets_you","Paid_parking_on_premises","Luggage_dropoff_allowed","Long_term_stays_allowed","Doorman","Pets_allowed","Smoking_allowed","Suitable_for_events","24_hour_check_in"
"1","73892",387110,"1","1",57,"0",3,"1","1","1",20121,45.47015,9.19134,"Entire home/apt",2,3,1,1,"1",94,1,45,1,0,2,29,59,89,364,84,94,9,9,10,10,10,9,"0","1","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","0"
"2","74169",268127,"1","1",57,"0",1,"1","0","1",20121,45.47169,9.18412,"Entire home/apt",4,3,1,1,"1",125,31,30,1,0,2,0,0,9,284,3,100,10,10,10,10,10,9,"0","0","0","0","1","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0"
"3","77958",387110,"1","1",57,"0",3,"1","1","1",20121,45.47117,9.19135,"Entire home/apt",2,3,1,1,"1",100,1,45,1,0,2,29,59,89,364,70,97,9,10,10,10,10,9,"0","1","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","0"
"4","93025",499743,"1","1",57,"0",1,"1","0","1",20121,45.47204,9.1964,"Entire home/apt",3,3,1,2,"1",120,48,57,2,40,2,10,40,70,160,57,97,10,10,10,10,10,10,"0","1","0","0","1","1","1","0","1","0","1","1","0","1","0","1","1","0","0","1","0","0","0"
"5","132705",391011,"1","1",57,"1",2,"1","0","1",20135,45.45934,9.20609,"Entire home/apt",2,3,0,1,"3",70,13,45,1,0,30,27,57,87,362,44,90,9,9,10,10,9,9,"0","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0"
"6","141833",689467,"1","0",29,"0",8,"1","1","1",20123,45.46022,9.18279,"Entire home/apt",2,3,1,1,"1",200,48,57,2,20,15,0,3,33,308,79,98,10,10,10,10,10,10,"0","0","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","1","1","0","0","0","1"
"7","233795",1224206,"1","1",57,"1",6,"1","0","1",20121,45.4724,9.18603,"Entire home/apt",4,5,1,2,"3",700,1,1,1,55,1,0,0,0,202,72,96,10,10,10,10,10,9,"0","0","0","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","0","1"
"8","255104",1280906,"1","1",57,"0",2,"1","0","1",20123,45.46171,9.18815,"Entire home/apt",4,3,1,2,"1",250,73,80,2,25,1,30,60,90,365,126,98,10,10,10,10,10,10,"0","0","0","0","1","1","1","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0"
"9","271845",1422647,"1","1",57,"0",8,"1","1","1",20123,45.46241,9.18664,"Entire home/apt",6,3,1,4,"1",100,13,1,1,20,1,4,10,15,260,377,94,10,10,10,10,10,9,"0","0","0","0","1","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0"
"10","272886",1428106,"1","1",57,"0",22,"1","0","1",20122,45.46511,9.19374,"Entire home/apt",5,3,1,4,"1",280,1,1,4,20,1,15,39,64,326,22,95,9,10,10,9,10,9,"1","0","0","0","1","1","1","0","1","0","1","1","0","1","1","0","0","0","1","1","0","0","0"
"11","272888",1428106,"1","1",57,"0",22,"1","0","1",20123,45.46538,9.1893,"Entire home/apt",5,3,1,4,"1",320,1,1,4,20,1,3,26,50,306,31,95,10,10,9,9,10,9,"1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","0","1","1","0","0","0"
"12","272890",1428106,"1","1",57,"0",22,"1","0","1",20123,45.46319,9.18796,"Entire home/apt",4,3,1,3,"1",240,1,1,3,20,1,15,35,56,318,1,40,10,10,8,4,10,4,"1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","0","1","1","0","0","0"
"13","272892",1428106,"1","1",57,"0",22,"1","0","1",20123,45.46465,9.18794,"Entire home/apt",4,5,2,4,"1",290,1,1,5,20,1,10,26,48,313,3,60,3,9,10,5,10,4,"1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","0","1","1","0","0","0"
"14","272896",1428106,"1","1",57,"0",22,"1","0","1",20123,45.4647,9.18734,"Entire home/apt",5,17,1,4,"1",290,1,1,4,20,1,10,27,42,299,48,94,10,9,9,9,10,9,"1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","0","1","1","0","0","0"
"15","273873",1428106,"1","1",57,"0",22,"1","0","1",20122,45.46427,9.1933,"Entire home/apt",5,5,2,3,"1",220,1,1,4,20,1,12,37,57,326,10,86,9,9,8,8,9,9,"1","0","0","0","1","1","1","0","1","0","1","1","0","1","1","0","0","0","1","1","0","0","0"
"16","281710",1468401,"0","1",57,"0",2,"1","0","1",20121,45.46872,9.19938,"Entire home/apt",4,3,1,2,"1",84,38,62,2,0,2,12,27,53,328,56,91,10,9,9,9,10,9,"0","1","0","0","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","1","1","1","0"
"17","289063",542989,"1","1",52,"0",2,"1","1","1",20122,45.46646,9.20098,"Entire home/apt",2,3,1,1,"2",60,1,1,1,15,30,28,58,88,363,7,100,9,9,10,9,10,9,"0","1","0","0","1","1","0","0","1","0","0","1","1","0","1","0","0","1","0","0","1","0","0"
"18","314620",1616668,"1","1",57,"1",4,"1","0","1",20123,45.45815,9.1746,"Entire home/apt",4,3,1,1,"1",99,56,66,2,12,3,0,0,0,115,7,94,9,9,10,10,10,9,"0","1","0","1","1","1","1","0","1","0","1","1","1","1","0","0","1","1","0","0","0","0","0"
"19","323241",1654941,"1","1",57,"1",22,"1","0","1",20123,45.46094,9.18728,"Entire home/apt",2,3,1,1,"1",110,1,57,1,0,2,20,39,67,67,103,95,10,10,10,10,10,10,"1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","1","0","0","0","0","0"
"20","323556",1654941,"1","1",57,"1",22,"1","0","1",20123,45.4622,9.18665,"Entire home/apt",2,3,1,2,"1",110,1,57,2,15,2,21,42,69,69,107,94,10,10,10,10,10,10,"1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","1","0","0","0","0","0"
"21","327452",1673794,"1","0",24,"0",1,"1","0","1",20123,45.46137,9.18791,"Entire home/apt",2,3,1,3,"1",100,1,1,2,50,1,30,60,90,365,5,100,9,8,9,10,10,7,"0","0","0","0","1","1","1","0","1","1","1","1","1","1","0","0","0","0","1","0","1","0","0"
"22","348111",1764533,"1","1",57,"0",1,"1","0","1",20123,45.46267,9.18962,"Entire home/apt",2,3,1,1,"1",80,48,57,1,0,1,0,0,0,0,314,87,9,9,9,9,10,9,"1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","0","0","0","0"
"23","348448",326090,"1","1",57,"0",1,"1","1","1",20121,45.47462,9.18766,"Entire home/apt",2,3,1,1,"2",73,61,29,1,20,1,0,0,0,224,54,88,9,8,9,10,10,8,"0","1","0","0","1","1","0","0","1","0","1","1","1","1","1","1","0","1","1","0","0","0","0"
"24","381512",1889524,"1","1",57,"0",2,"1","1","1",20121,45.46774,9.18215,"Entire home/apt",4,5,2,2,"1",300,14,4,1,50,1,14,44,74,349,32,95,10,9,10,10,10,9,"0","0","1","1","1","1","1","0","1","0","0","1","1","0","0","1","1","0","0","0","0","1","0"
"25","385469",1929398,"1","1",57,"0",3,"1","0","1",20123,45.46399,9.17602,"Entire home/apt",3,3,1,1,"1",70,66,92,2,20,2,29,59,89,89,2,70,8,7,10,9,10,8,"0","0","0","0","1","1","1","0","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"26","400300",1998219,"1","1",57,"0",3,"1","1","1",20122,45.46658,9.20577,"Entire home/apt",4,3,2,2,"1",290,1,94,2,0,2,18,36,66,341,3,100,9,9,10,10,10,9,"0","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","0","0","0","0","0","0"
"27","403602",2012951,"0","0",57,"0",1,"1","1","1",20123,45.46076,9.18895,"Entire home/apt",3,3,1,3,"1",233,49,13,2,30,1,28,58,87,362,17,89,9,9,9,10,10,9,"0","0","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"28","412833",2054298,"1","1",57,"0",2,"1","1","1",20122,45.46243,9.19358,"Entire home/apt",5,5,2,4,"1",265,56,80,4,15,1,5,13,14,223,139,97,10,10,10,10,10,10,"1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0","0"
"29","422744",2101842,"1","1",57,"1",2,"1","1","1",20121,45.47895,9.18599,"Entire home/apt",4,3,1,2,"1",80,48,69,1,0,15,0,0,0,189,5,96,10,9,10,8,10,8,"0","0","0","0","1","1","1","0","1","0","1","1","1","1","1","1","0","1","0","1","0","0","0"
"30","427972",2126703,"1","1",57,"0",1,"1","1","1",20122,45.45458,9.20127,"Entire home/apt",4,3,1,2,"1",51,31,57,2,20,5,20,41,41,41,139,91,9,9,10,10,10,9,"0","1","0","0","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","0","0","0","0"
"31","431719",1467265,"1","1",57,"0",0,"1","0","1",20123,45.46273,9.18636,"Entire home/apt",6,5,3,3,"1",499,48,4,2,50,2,29,59,89,89,6,100,10,10,10,10,10,9,"0","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0"
"32","434334",2158387,"1","1",57,"1",1,"1","1","1",20123,45.45942,9.18465,"Entire home/apt",2,3,1,1,"1",110,48,51,1,10,2,1,9,20,226,336,99,10,10,10,10,10,10,"1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","0","0","0"
"33","434379",2158679,"1","0",12,"0",5,"1","0","1",20123,45.46006,9.16954,"Entire home/apt",2,3,1,1,"1",74,1,30,1,4,1,19,39,43,318,9,98,10,10,10,10,10,10,"0","0","0","0","1","1","0","0","1","1","1","1","0","1","1","1","1","1","0","1","0","0","1"
"34","451490",1105076,"1","1",57,"1",2,"1","1","1",20123,45.45984,9.18034,"Entire home/apt",4,3,1,2,"1",74,1,63,2,10,5,19,28,28,236,146,96,10,10,10,10,10,10,"0","0","0","0","1","1","1","0","1","0","0","1","1","1","0","0","0","0","0","1","0","0","0"
"35","462027",1790476,"1","1",57,"0",1,"1","1","1",20123,45.45967,9.18203,"Entire home/apt",4,3,1,2,"1",110,48,57,1,0,2,6,25,25,25,44,92,9,9,9,10,10,9,"0","1","1","1","0","1","1","0","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0"
"36","466141",2173816,"1","1",57,"1",1,"1","1","1",20123,45.46169,9.18913,"Entire home/apt",4,3,1,2,"1",70,1,45,2,40,1,8,29,48,304,395,94,10,9,9,10,10,10,"0","1","0","0","1","1","1","0","1","0","1","1","1","1","0","0","0","0","1","1","1","0","1"
"37","519218",2555271,"1","1",57,"1",1,"1","1","1",20123,45.45724,9.1715,"Entire home/apt",4,3,1,2,"1",88,48,45,1,30,2,28,58,86,86,131,90,9,9,10,10,9,9,"1","1","0","0","0","1","1","0","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0"
"38","538552",2389569,"1","1",57,"0",3,"1","1","1",20122,45.45501,9.20145,"Entire home/apt",5,3,2,5,"1",84,45,57,2,20,2,0,0,1,72,154,94,10,10,10,10,10,9,"0","1","0","0","1","1","1","0","1","0","1","1","1","1","0","0","1","1","0","0","0","0","1"
"39","562913",2768787,"1","1",57,"1",2,"1","1","1",20123,45.45943,9.17471,"Entire home/apt",3,3,1,1,"1",95,1,69,2,30,3,21,30,30,234,99,97,10,10,10,10,10,10,"1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","0","1","0","1"
"40","621791",380378,"1","1",57,"0",28,"1","1","1",20122,45.45702,9.19671,"Entire home/apt",3,4,1,3,"1",180,31,69,2,40,4,1,1,1,11,5,88,9,10,10,10,10,8,"0","0","1","1","0","1","1","0","1","0","0","1","1","1","1","0","0","0","1","0","0","0","0"
"41","645501",2158679,"1","0",12,"0",5,"1","0","1",20123,45.45918,9.17152,"Entire home/apt",2,3,1,1,"1",81,1,45,1,4,5,11,41,71,275,7,100,10,10,10,10,10,10,"0","0","0","0","1","1","0","0","1","0","1","1","1","1","1","0","0","1","0","0","1","0","0"
"42","647254",3245084,"1","1",49,"0",11,"1","1","1",20123,45.46487,9.17363,"Entire home/apt",5,3,1,2,"1",120,1,20,2,10,2,27,53,74,296,103,79,8,8,8,9,10,8,"1","0","0","0","1","1","1","0","1","0","1","1","0","1","1","0","0","0","1","0","0","1","0"
"43","647678",3245084,"1","1",49,"0",11,"1","1","1",20123,45.46648,9.17174,"Entire home/apt",4,3,1,4,"1",120,1,20,2,10,2,21,49,70,292,133,81,8,9,8,9,10,8,"1","0","0","0","1","1","1","0","1","0","1","1","0","1","1","0","0","0","0","1","1","1","0"
"44","652308",3278146,"1","1",57,"1",1,"1","0","1",20121,45.47547,9.18387,"Entire home/apt",4,3,1,1,"1",100,123,69,1,20,2,28,58,80,355,84,97,10,10,10,10,10,9,"0","0","0","0","1","1","1","0","1","0","0","1","1","1","0","0","0","0","1","0","0","0","0"
"45","709966",3653422,"1","1",57,"0",1,"1","1","1",20135,45.45472,9.20342,"Entire home/apt",2,3,1,2,"1",68,21,1,1,18,31,0,0,0,161,34,93,9,10,10,10,9,9,"0","0","0","1","0","1","1","0","1","0","1","1","1","1","1","0","1","1","0","0","0","0","0"
"46","713786",335105,"1","1",57,"0",6,"1","0","1",20123,45.46249,9.18812,"Entire home/apt",3,3,1,3,"1",165,48,57,1,89,2,30,60,90,365,30,91,9,9,10,10,10,9,"0","0","0","0","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","1","0"
"47","715392",559562,"1","1",57,"0",1,"1","1","1",20123,45.46848,9.17208,"Entire home/apt",2,4,1,2,"1",75,66,57,2,25,7,10,27,54,329,88,98,10,10,10,10,10,10,"0","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","0","1","0","0","0","0"
"48","721653",3735952,"1","1",57,"0",11,"1","1","1",20129,45.47057,9.20445,"Entire home/apt",4,4,2,2,"1",135,66,100,1,55,1,14,41,68,343,65,94,10,10,10,10,10,9,"1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","1","1","0","0","0","0","0"
"49","739252",3798545,"1","1",57,"1",1,"1","0","1",20123,45.47117,9.16729,"Entire home/apt",2,3,1,1,"1",58,124,38,1,0,2,19,28,52,320,24,97,10,9,10,10,10,9,"0","1","0","0","1","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0"
"50","753046",3961167,"1","1",57,"0",6,"1","0","1",20122,45.46845,9.20374,"Entire home/apt",2,3,1,2,"1",60,1,57,1,40,6,0,9,24,282,3,93,9,9,9,10,9,9,"1","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0"
"51","768969",4056380,"1","1",57,"1",1,"1","0","1",20129,45.47284,9.20604,"Entire home/apt",2,3,1,1,"1",76,1,1,1,0,1,7,22,31,293,495,98,10,10,10,10,10,10,"0","1","0","0","1","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"52","772574",4076323,"1","0",11,"0",1,"1","1","1",20123,45.46003,9.16971,"Entire home/apt",3,4,1,3,"1",110,1,57,1,0,3,8,38,68,343,13,98,10,10,10,10,10,9,"0","0","0","0","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","0","0","0","0"
"53","786494",4146347,"1","1",57,"1",1,"1","0","1",20154,45.47677,9.18147,"Entire home/apt",4,3,2,2,"2",81,13,30,1,10,2,25,55,85,85,120,94,10,9,10,10,10,9,"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1","0","1","0","0","0","1"
"54","812419",3052996,"1","1",57,"0",1,"1","1","1",20123,45.461,9.17996,"Entire home/apt",1,3,1,1,"1",80,31,51,1,5,3,29,59,89,89,42,97,10,10,10,10,10,10,"0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0"
"55","815097",3728911,"1","1",57,"1",1,"1","1","1",20123,45.46053,9.18204,"Entire home/apt",2,3,1,0,"1",105,48,69,2,0,1,18,41,58,323,168,98,10,10,10,10,10,10,"0","1","0","0","1","1","1","0","1","0","0","1","1","1","1","0","0","1","0","0","0","0","0"
"56","849862",4436871,"0","0",57,"0",1,"1","1","1",20122,45.46045,9.19282,"Entire home/apt",2,3,1,1,"1",120,13,45,2,0,3,0,0,0,192,4,90,9,9,9,9,10,9,"0","1","0","0","1","1","1","0","1","0","1","1","1","0","0","0","0","0","1","0","1","0","0"
"57","868679",4571936,"1","1",57,"0",44,"1","0","1",20121,45.4691,9.20034,"Entire home/apt",4,5,1,2,"1",204,48,105,2,30,1,30,60,84,354,29,92,10,10,9,9,10,9,"1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","0","0","0"
"58","874880",4618386,"1","1",57,"0",1,"1","0","1",20123,45.46459,9.18407,"Entire home/apt",6,5,2,2,"1",240,105,105,4,35,2,24,51,75,347,160,97,10,10,10,10,10,9,"0","1","0","0","1","1","1","0","1","0","1","1","1","1","0","0","0","0","1","0","0","0","1"
"59","892048",4739807,"1","1",57,"0",2,"1","1","1",20123,45.46122,9.17237,"Entire home/apt",4,3,1,1,"1",79,1,57,2,40,3,29,59,89,89,11,100,10,10,10,10,10,9,"0","0","0","0","1","1","0","0","1","0","0","1","1","1","0","0","0","0","1","0","1","1","0"
